msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_by_casualty_lsoa_2018_2022,total_number_of_casualties_by_msoa_of_accident_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,car_occupant_casualties_2018_2022,motorcycle_casualties_2018_2022,horse_rider_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022,winter_collisions_2018_2022
E02000629,277,132,307,0,122,45,38,75,0,5,5,87,190,77,57
E02003275,277,197,362,0,23,82,220,17,0,8,6,93,184,88,56
E02005149,275,110,418,2,14,10,333,35,0,8,7,71,204,80,65
E02006619,275,98,392,4,32,7,282,36,0,5,5,75,200,67,59
E02006406,274,91,350,0,33,22,229,41,0,5,5,82,192,87,58
E02000412,273,134,312,0,39,81,69,84,0,4,4,83,190,63,70
E02003328,273,130,356,2,29,58,214,40,0,5,5,85,188,64,70
E02000288,272,183,322,0,16,66,160,46,0,6,6,92,180,68,62
E02000725,272,110,304,1,51,75,90,46,0,4,4,90,182,84,62
E02000974,272,98,306,3,81,55,68,68,0,6,6,104,168,77,65
E02005203,271,95,450,7,18,11,356,40,0,7,5,79,193,82,65
E02000622,269,103,298,0,121,36,50,65,0,5,5,75,194,65,65
E02000877,269,195,313,0,55,67,109,60,0,5,5,103,166,67,72
E02001857,269,174,378,1,13,63,268,12,0,8,8,85,184,72,65
E02001897,269,115,380,1,24,51,268,12,0,5,5,106,163,67,75
E02005432,266,80,425,18,10,5,337,40,0,6,7,65,201,94,61
E02000191,265,31,278,0,79,90,21,61,0,5,4,91,174,63,69
E02000633,264,97,298,1,67,70,67,60,0,5,5,113,151,70,67
E02005078,264,98,373,6,9,13,279,35,2,7,4,53,211,75,52
E02000213,263,168,296,1,34,82,84,61,0,5,5,97,166,53,63
E02002784,263,75,288,1,148,76,31,19,0,7,7,67,196,68,71
E02000123,262,328,302,1,22,79,66,108,0,7,7,89,173,64,59
E02000780,262,251,323,0,20,63,173,31,0,8,8,93,169,68,69
E02006578,262,154,317,1,44,40,178,30,0,6,7,78,185,60,60
E02000384,261,88,279,3,66,70,46,62,0,5,5,71,190,69,61
E02000957,261,156,297,0,62,72,64,78,0,6,6,100,161,74,57
E02003399,260,119,291,0,76,68,87,36,0,8,8,75,185,72,75
E02000657,259,124,298,3,62,48,93,59,0,5,5,97,162,84,50
E02005590,259,104,289,2,86,72,88,30,0,6,6,68,191,71,69
E02006896,258,28,339,0,27,78,178,12,0,4,4,123,135,61,64
E02000316,257,138,294,3,41,58,117,48,0,8,8,78,180,74,58
E02000576,257,89,279,1,101,49,47,55,0,5,5,84,173,73,60
E02000257,256,131,291,2,45,60,63,93,0,9,8,80,177,71,50
E02000828,256,138,298,1,68,67,77,47,0,4,4,73,183,64,63
E02006924,254,151,340,0,10,38,227,40,0,8,8,92,162,67,61
E02000621,253,145,282,0,83,50,62,50,0,6,6,95,158,60,72
E02000649,252,200,300,0,33,55,95,73,0,6,6,84,168,68,50
E02000119,251,147,287,0,32,38,114,76,0,4,4,86,165,68,57
E02000867,250,154,308,3,85,31,122,44,0,6,6,88,163,81,50
E02006930,250,80,291,1,57,38,95,68,0,4,4,78,172,72,52
E02000628,248,175,282,1,61,73,50,50,0,6,6,115,133,58,68
E02000736,247,128,358,0,6,26,254,37,0,5,5,94,154,52,60
E02005936,247,56,359,7,13,5,269,34,0,6,6,55,192,84,48
E02000916,244,155,281,2,104,37,74,39,0,5,5,70,174,69,53
E02000968,244,233,271,0,43,54,54,86,0,8,8,90,154,71,56
E02000280,241,84,333,3,7,19,253,17,0,7,6,65,176,68,52
E02000020,240,195,345,0,18,37,205,30,0,5,5,75,165,69,49
E02000407,240,159,273,0,35,56,80,73,0,4,5,81,159,60,49
E02000866,240,105,263,1,115,29,49,43,0,5,5,77,163,68,44
E02002677,240,86,299,2,61,32,131,43,0,5,5,69,171,65,65
E02005035,240,91,339,2,14,23,259,25,2,6,5,70,170,60,69
E02000888,239,126,278,0,52,40,92,65,0,5,5,79,160,70,61
E02003250,239,127,317,0,50,50,185,22,0,5,5,73,166,58,57
E02000588,237,23,264,1,36,77,45,83,0,5,5,78,159,64,52
E02000876,237,130,272,0,91,50,63,45,0,4,4,86,151,69,45
E02002813,236,162,275,0,52,63,125,17,0,6,6,67,169,54,65
E02005145,236,113,331,6,18,13,235,42,0,5,4,52,184,72,56
E02000311,235,132,286,1,12,29,173,46,0,6,6,76,160,62,55
E02003725,235,59,265,0,145,38,52,17,0,5,5,65,170,50,61
E02006356,234,119,268,1,55,42,108,51,0,6,6,71,163,58,50
E02004420,233,145,326,5,16,7,233,38,0,6,6,56,177,63,59
E02006931,233,77,271,2,67,41,81,54,0,5,5,66,167,78,45
E02000813,232,121,251,2,60,52,57,60,0,5,5,78,154,55,55
E02003651,232,59,395,2,3,9,338,17,0,4,6,75,158,62,63
E02006572,231,117,317,4,32,19,219,32,0,6,8,54,177,62,51
E02000187,230,93,251,3,88,58,40,42,0,6,5,72,159,58,59
E02000530,230,105,291,1,14,28,202,19,0,4,4,60,170,58,55
E02000184,229,100,262,2,92,57,35,49,0,5,5,83,146,82,46
E02000829,229,163,255,0,72,39,59,62,0,5,5,79,150,74,45
E02000943,229,68,240,2,94,43,28,67,0,6,5,76,153,54,60
E02005947,228,57,241,0,130,51,18,28,0,3,3,58,170,59,42
E02000710,227,127,266,2,35,28,118,63,0,5,5,58,169,66,54
E02006383,227,80,304,3,27,14,213,29,0,7,6,68,159,57,53
E02000573,226,83,243,1,80,49,29,65,0,5,5,80,146,50,55
E02000731,225,145,264,2,28,75,90,31,0,6,5,65,160,65,66
E02000880,225,89,243,0,68,40,61,51,0,4,4,80,145,70,51
E02002068,225,144,302,1,15,54,203,5,0,7,6,79,146,50,46
E02000375,224,92,268,1,45,59,65,66,0,4,4,76,148,51,50
E02000620,224,121,257,1,79,33,52,69,0,5,5,79,145,56,51
E02004512,224,83,264,0,46,39,132,31,0,5,5,65,159,52,54
E02005455,224,120,298,7,11,3,223,33,0,7,7,58,167,61,59
E02000391,223,64,244,0,86,46,30,66,0,5,5,68,155,71,45
E02003219,223,99,317,3,13,21,230,23,0,4,4,53,170,73,43
E02006360,223,68,325,3,20,11,229,38,0,5,5,64,159,55,53
E02006435,223,82,331,2,8,8,257,16,0,4,4,67,156,57,64
E02006231,221,51,321,10,6,7,256,28,0,6,7,56,166,49,65
E02000595,220,55,236,0,75,39,24,72,0,5,5,58,162,52,51
E02005670,219,57,280,4,26,55,154,19,0,5,5,86,133,46,59
E02000003,218,157,275,0,13,54,151,34,0,6,6,70,149,58,52
E02000306,218,133,285,0,15,41,136,41,0,5,5,86,132,55,66
E02000528,218,166,259,0,43,40,94,48,0,6,6,70,148,61,41
E02000606,218,86,258,0,55,49,71,45,0,5,5,62,157,51,55
E02000821,218,124,262,0,60,25,77,59,0,5,5,71,148,69,42
E02005039,218,90,319,3,3,11,253,28,0,5,5,69,149,50,55
E02000243,217,97,256,0,16,41,146,40,0,6,5,72,145,53,62
E02002681,217,121,258,5,52,35,127,17,0,5,5,61,156,51,45
E02005064,217,65,309,5,14,10,226,37,0,5,6,66,151,57,53
E02006399,217,114,276,4,30,18,187,29,0,7,7,65,152,58,53
E02000221,216,156,257,1,12,28,139,60,0,5,5,64,152,62,46
E02000560,216,73,235,1,47,50,53,63,0,4,4,66,150,54,37
E02002168,216,103,281,3,19,60,173,11,0,6,6,77,139,46,61
E02002728,216,108,258,1,49,37,124,21,0,5,5,44,172,58,45
E02000346,215,109,243,0,49,43,67,49,0,4,4,80,135,57,49
E02002393,215,92,267,1,38,69,123,11,0,5,5,68,147,55,43
E02002065,214,149,293,4,11,49,205,15,0,7,7,75,139,56,68
E02005123,214,156,291,3,17,23,210,17,0,5,5,60,154,55,52
E02000212,213,138,262,0,31,36,131,43,0,5,5,81,132,51,55
E02000419,213,120,232,1,46,44,41,76,0,4,4,69,144,46,41
E02000999,213,58,295,4,19,59,183,10,0,5,5,76,137,61,51
E02001869,213,2,311,3,21,18,235,16,0,3,3,84,129,41,54
E02002808,213,122,246,3,40,72,83,19,0,6,6,66,147,49,57
E02006251,213,113,255,1,41,58,127,24,0,7,7,68,145,61,54
E02001652,212,10,256,0,48,46,120,17,0,6,6,71,141,46,52
E02002384,212,90,268,3,48,47,138,18,0,5,5,77,135,42,54
E02002666,212,110,253,0,67,46,103,23,0,5,5,71,141,54,46
E02002607,211,97,252,1,40,49,112,31,0,6,6,56,156,60,44
E02000204,210,175,230,1,42,49,64,59,0,6,6,70,141,62,43
E02000264,210,90,251,1,46,29,89,68,0,5,5,63,148,54,54
E02000362,210,94,252,1,41,22,117,45,0,5,4,78,132,46,55
E02000625,210,163,230,0,88,23,41,63,0,5,5,59,151,63,43
E02000646,210,127,226,0,25,54,58,69,0,5,5,57,153,52,49
E02002642,210,96,278,1,14,91,150,12,0,5,5,75,135,58,39
E02003539,210,143,231,1,70,53,63,21,0,7,7,61,149,55,47
E02006792,210,82,235,0,60,35,62,57,0,5,5,68,142,51,56
E02000569,209,83,229,0,88,43,33,56,0,6,6,84,125,43,58
E02003094,209,65,287,1,17,12,208,25,1,4,4,46,163,47,55
E02000597,207,73,230,1,75,33,45,56,0,5,5,70,138,51,37
E02000795,207,45,227,0,172,17,26,7,1,4,5,21,187,65,40
E02000112,206,140,234,2,16,59,66,72,0,5,5,73,133,50,50
E02000266,206,158,255,0,33,32,138,33,0,7,7,68,138,54,55
E02000476,205,102,241,0,26,56,69,30,0,5,5,52,153,52,48
E02003148,205,72,249,1,39,60,90,48,0,6,6,61,144,55,55
E02004272,205,96,321,5,4,4,234,31,1,5,12,44,161,54,58
E02000592,204,29,225,0,60,47,22,76,0,5,5,60,144,47,47
E02000759,203,108,270,0,32,31,157,25,0,7,7,61,142,52,51
E02003472,203,84,267,0,27,28,153,24,0,5,5,74,129,59,50
E02004064,203,79,253,4,15,60,122,24,0,6,6,63,140,48,64
E02005269,203,117,258,1,30,74,122,12,0,7,7,80,124,47,59
E02000920,202,140,228,1,44,36,87,31,0,5,5,68,134,63,40
E02003520,202,120,223,1,79,46,35,31,0,5,5,64,138,54,42
E02003794,202,65,290,3,16,10,228,20,1,6,6,35,167,54,44
E02000594,199,38,214,1,75,47,20,47,0,5,5,53,146,46,42
E02000651,199,142,234,2,40,20,83,71,0,5,5,73,126,59,46
E02001859,199,89,306,1,11,45,210,10,0,8,6,59,141,56,52
E02000824,198,128,237,0,28,26,86,67,0,5,5,72,126,62,44
E02002898,198,57,245,1,44,33,113,16,0,5,5,54,144,49,55
E02006396,198,58,301,4,13,4,239,25,0,4,4,62,136,56,45
E02000312,197,135,234,1,21,28,123,41,0,6,6,74,123,40,53
E02002226,197,157,275,1,13,90,144,1,0,6,6,72,126,49,49
E02002139,196,99,269,1,13,58,173,6,0,6,5,66,130,42,63
E02005423,196,126,287,13,12,16,214,26,0,5,5,52,144,52,49
E02006899,196,5,251,0,19,81,111,14,0,4,4,71,125,35,48
E02000016,195,120,252,0,19,47,126,14,0,4,4,72,123,53,44
E02000261,195,169,223,2,43,38,68,52,0,6,6,70,125,59,47
E02000969,195,144,217,6,36,32,48,74,0,6,5,68,127,59,42
E02004535,195,48,282,10,14,21,186,26,0,3,3,70,125,52,50
E02006833,195,116,273,1,18,15,203,14,0,6,6,62,133,47,52
E02000019,194,110,253,5,19,19,146,31,0,5,6,58,136,47,49
E02000113,194,207,251,3,17,24,138,50,0,6,6,72,122,45,54
E02003220,194,101,245,5,34,20,152,27,0,6,6,53,141,56,47
E02006047,194,59,275,8,14,4,223,24,1,5,5,35,159,52,38
E02000585,193,55,210,1,47,17,50,77,0,5,5,77,116,50,44
E02002227,193,117,274,7,15,40,195,10,0,5,4,71,122,50,47
E02002496,193,106,250,1,36,59,100,10,0,5,5,64,129,43,57
E02004943,193,54,294,1,7,4,245,12,0,5,5,58,136,42,53
E02006542,193,61,273,5,3,9,202,38,1,4,4,53,141,69,45
E02006570,193,84,252,1,47,33,129,33,0,5,5,48,146,58,33
E02004734,192,89,234,1,22,20,132,44,0,7,7,60,132,45,42
E02000818,191,130,212,1,70,45,33,43,0,4,4,53,138,45,45
E02002671,191,121,222,1,48,22,98,36,0,5,5,54,137,46,54
E02004841,191,95,263,1,20,12,186,31,2,6,6,50,141,39,55
E02006894,191,131,270,0,19,37,195,8,0,8,8,63,128,47,41
E02000470,190,97,263,6,14,13,194,21,0,5,5,49,141,52,51
E02001905,190,40,260,2,37,23,162,13,0,4,4,64,126,40,40
E02006438,190,106,277,6,17,13,196,22,1,5,5,51,140,42,41
E02006927,190,109,243,3,20,43,120,38,0,5,5,56,135,42,55
E02000579,189,92,219,0,29,30,73,64,0,5,5,54,135,54,39
E02003113,189,59,322,7,16,3,256,27,1,6,6,48,141,54,44
E02003475,189,140,244,1,14,11,181,23,0,9,9,57,132,50,44
E02000491,188,138,268,3,15,12,189,28,0,5,5,44,144,55,48
E02000962,188,65,213,1,53,31,55,48,0,5,5,58,130,52,32
E02002548,188,91,240,1,29,52,106,24,0,5,5,48,140,46,42
E02003034,188,126,211,1,71,34,56,34,0,7,7,59,130,52,41
E02003299,188,45,285,3,8,4,218,25,0,4,4,60,128,43,56
E02005154,188,120,283,4,11,7,211,27,0,6,7,45,144,49,40
E02005419,188,121,225,2,46,50,98,15,0,4,4,44,144,45,49
E02005899,188,81,240,2,33,28,136,24,0,7,7,43,145,50,51
E02006474,188,40,274,6,9,6,220,16,0,4,6,51,138,44,46
E02000815,187,89,231,3,56,44,41,55,0,4,4,78,109,46,41
E02000934,187,96,219,2,41,38,59,47,0,5,5,55,133,61,38
E02006651,187,49,261,7,10,3,212,19,0,4,4,61,126,51,45
E02000520,186,148,218,0,27,43,113,25,0,6,6,53,133,41,43
E02003278,186,171,253,0,6,46,168,14,0,6,6,59,127,43,54
E02006400,186,61,271,2,15,3,217,18,0,6,4,56,130,45,56
E02006851,186,29,229,1,20,97,91,4,0,4,4,77,109,40,47
E02002675,185,126,217,2,53,40,86,21,0,5,5,59,126,40,46
E02003106,185,86,241,0,33,11,164,22,0,5,5,54,131,45,52
E02000889,184,76,205,0,67,30,41,57,0,4,4,65,120,58,37
E02001558,184,42,273,5,8,5,205,19,0,5,4,47,137,44,45
E02005071,184,142,226,1,13,52,124,18,0,6,6,57,127,38,43
E02000117,183,267,203,0,19,42,73,54,0,6,6,59,124,53,36
E02004380,183,72,280,5,22,14,210,12,1,5,5,44,140,44,40
E02006523,183,45,281,4,28,11,202,16,0,7,7,45,140,49,39
E02006906,183,83,229,4,14,9,159,29,0,7,8,43,141,55,41
E02002667,182,78,223,1,63,14,103,34,0,5,5,65,117,46,51
E02006364,182,81,236,1,23,27,151,26,0,5,4,42,140,46,46
E02000564,181,109,193,0,68,21,31,51,0,7,7,50,132,56,35
E02000747,181,130,238,1,8,25,133,54,0,7,7,54,129,47,39
E02001879,181,128,245,1,8,62,161,5,0,5,5,59,122,36,41
E02003730,181,118,200,1,101,24,48,21,0,5,5,52,129,48,50
E02003809,181,50,261,5,22,3,197,13,0,5,4,45,136,51,41
E02005722,181,29,286,5,16,3,210,20,0,7,4,44,137,53,42
E02006798,181,138,208,0,52,40,57,29,0,5,5,52,129,60,42
E02001577,180,30,268,5,3,5,216,11,0,6,7,50,131,55,38
E02002889,180,52,210,1,27,55,76,9,0,4,4,76,104,47,40
E02003481,180,65,250,3,9,18,174,28,0,5,6,53,127,48,50
E02004394,180,110,265,3,4,6,192,35,2,6,5,46,134,49,48
E02006436,180,76,284,1,5,6,225,23,0,4,4,44,136,51,43
E02006566,180,77,264,3,19,12,192,32,1,4,4,64,117,61,43
E02006854,180,53,206,2,40,28,64,55,0,4,4,72,108,55,34
E02000743,179,149,219,1,20,37,102,44,0,4,4,70,109,44,47
E02003837,179,93,236,5,24,11,159,31,0,7,7,40,142,52,38
E02005142,179,60,220,1,32,32,117,28,0,5,5,37,142,43,52
E02006333,179,97,252,2,28,16,184,12,0,6,6,52,127,56,36
E02003571,178,80,195,1,25,64,61,30,0,4,4,58,120,44,47
E02003577,178,118,214,3,50,31,78,38,0,7,7,55,123,50,39
E02003710,178,94,221,1,18,46,113,33,0,6,6,52,126,50,37
E02004707,178,75,230,5,21,8,141,38,0,5,5,52,126,61,49
E02006433,178,71,274,2,12,14,214,16,0,6,6,62,116,44,42
E02000345,177,86,186,1,27,58,30,56,0,5,5,67,110,43,39
E02000566,177,68,193,0,69,31,29,50,0,5,5,56,122,43,44
E02002190,177,127,219,2,15,79,113,6,0,7,7,51,126,45,58
E02004382,177,59,272,7,15,6,170,40,0,4,4,40,137,45,34
E02004821,177,40,257,11,8,8,191,29,0,3,3,52,125,53,46
E02005674,177,36,222,2,25,59,102,10,0,4,4,73,104,36,48
E02006610,177,70,248,3,9,9,186,24,0,5,4,53,124,50,42
E02006925,177,134,238,0,5,11,187,19,0,8,8,69,108,54,41
E02000308,176,98,220,0,2,30,136,34,0,5,5,66,110,40,46
E02005234,176,57,207,1,48,51,91,7,0,5,5,48,128,51,47
E02005445,176,148,200,1,42,47,81,26,0,7,7,59,117,38,47
E02000282,175,169,195,1,24,44,90,22,0,5,5,67,108,49,36
E02001449,175,69,275,4,18,12,215,7,0,6,6,43,132,40,49
E02003822,175,87,245,11,11,10,172,23,2,7,7,59,116,42,43
E02006423,175,97,222,0,15,25,141,29,0,6,6,49,126,46,38
E02006933,175,35,202,0,23,90,52,7,0,4,4,72,103,50,32
E02002251,174,80,209,2,13,57,117,12,0,5,4,56,118,39,52
E02004527,174,68,254,4,11,8,187,23,0,5,5,57,118,47,44
E02005130,174,115,261,6,14,14,195,21,0,6,5,41,133,45,39
E02006912,174,17,221,6,45,68,65,6,0,5,5,66,108,38,40
E02000055,173,117,207,1,14,37,103,35,0,6,6,57,116,38,52
E02000551,173,149,203,0,20,29,95,42,0,5,5,44,129,47,41
E02000634,173,77,195,0,45,38,27,64,0,4,4,71,102,45,33
E02000642,173,139,199,0,38,30,78,31,0,5,5,60,113,47,47
E02000914,173,162,186,1,63,35,40,28,0,5,5,52,121,57,36
E02001241,173,80,268,7,10,55,155,8,0,5,5,50,123,47,46
E02003872,173,48,237,10,20,3,154,35,0,7,4,32,141,57,36
E02005254,173,72,282,0,16,7,228,9,0,5,4,46,127,49,31
E02000203,172,157,198,0,18,53,72,38,0,6,5,69,103,38,44
E02000217,172,150,219,0,13,43,114,36,0,5,5,52,120,32,50
E02000632,172,116,187,1,60,36,33,45,0,5,5,63,109,56,38
E02000823,172,124,192,0,74,27,34,41,0,5,5,51,122,49,42
E02000964,172,191,191,1,31,43,41,65,0,6,6,66,106,44,43
E02000982,172,89,196,1,40,48,33,35,0,6,6,62,111,49,44
E02002727,172,87,223,3,44,28,113,11,0,4,4,45,127,42,57
E02003630,172,158,254,1,19,43,147,23,0,6,6,45,127,41,43
E02004976,172,81,212,2,34,41,100,25,0,5,4,49,123,40,44
E02000175,171,58,194,2,28,38,48,66,0,5,5,54,118,38,44
E02000543,171,137,200,1,25,66,48,24,0,6,6,47,124,39,39
E02000839,171,103,203,1,53,14,91,29,0,5,5,48,123,50,40
E02001863,171,4,258,1,15,22,194,12,0,4,4,45,126,48,51
E02002258,171,53,243,5,9,17,175,18,0,5,5,57,115,46,41
E02002299,171,68,219,1,17,50,118,15,0,4,4,44,128,46,38
E02002886,171,120,221,1,31,22,126,11,0,5,5,43,128,38,49
E02002893,171,120,214,0,31,44,96,22,0,7,7,66,105,44,40
E02003070,171,58,242,5,31,10,179,17,1,6,6,42,129,51,45
E02004691,171,61,235,4,8,1,186,20,0,5,5,50,121,60,31
E02006565,171,78,247,7,8,5,179,43,1,6,6,40,131,62,24
E02000265,170,126,201,0,34,45,56,45,0,6,6,58,114,61,36
E02000278,170,139,219,2,13,30,133,30,0,5,5,40,130,34,31
E02000420,170,135,189,0,19,40,51,62,0,4,4,55,115,45,43
E02000812,170,121,182,0,66,36,25,35,0,6,6,63,107,48,38
E02001482,170,110,226,2,41,46,99,18,0,5,5,54,116,41,46
E02003940,170,54,253,6,3,8,205,22,0,4,4,42,128,42,40
E02004515,170,99,248,6,7,8,181,24,0,5,5,38,132,39,47
E02006471,170,39,247,9,5,6,191,25,0,5,4,41,129,51,46
E02000630,169,118,190,1,62,25,33,52,0,5,5,58,111,50,36
E02001875,169,88,231,0,11,31,161,12,0,5,5,64,105,41,34
E02001890,169,82,262,0,25,21,194,13,0,6,6,51,118,42,43
E02003192,169,143,191,1,59,34,44,34,0,5,5,67,102,47,40
E02005131,169,73,261,7,7,6,215,10,0,4,4,43,126,54,29
E02005172,169,93,265,2,6,6,200,24,0,5,5,47,122,45,44
E02000523,168,146,198,1,8,56,95,17,0,5,5,54,114,48,32
E02000638,168,147,194,1,46,19,48,57,0,5,5,59,109,44,40
E02001178,168,42,207,2,42,28,107,13,0,8,8,55,113,37,41
E02001803,168,53,210,3,17,60,98,6,0,5,5,40,128,34,40
E02003460,168,74,239,7,6,2,194,18,0,7,6,47,122,55,40
E02003627,168,111,211,3,41,61,81,11,0,6,6,51,119,31,42
E02003803,168,43,193,2,28,54,79,22,0,5,5,63,105,38,48
E02003936,168,83,261,3,7,6,202,18,0,7,5,43,125,51,48
E02004724,168,73,210,0,17,8,129,42,0,5,5,58,111,42,32
E02005484,168,66,233,4,9,5,178,11,0,5,5,51,117,43,42
E02006790,168,61,222,1,23,12,157,14,2,4,5,56,112,54,36
W02000414,168,21,229,8,9,4,146,42,1,4,4,35,133,51,39
E02000411,167,164,205,1,22,28,98,41,0,4,4,63,104,37,41
E02000584,167,44,175,0,36,37,19,71,0,5,5,43,124,53,36
E02000879,167,141,182,1,67,29,41,36,0,4,4,47,120,48,32
E02001557,167,87,224,0,21,30,149,14,0,6,6,64,103,38,50
E02001730,167,52,210,0,29,45,96,12,0,7,7,58,109,40,37
E02004156,167,74,190,2,49,52,61,23,0,5,5,43,124,34,43
E02004279,167,74,250,3,13,6,181,39,0,4,6,42,125,47,41
E02004785,167,34,214,4,10,14,151,24,0,4,4,47,120,47,37
E02005778,167,48,250,4,27,1,165,43,0,4,4,29,139,43,38
E02006631,167,117,200,1,39,48,83,25,0,5,5,36,131,45,42
E02006794,167,171,202,0,19,39,76,32,0,4,4,64,103,43,26
E02000121,166,156,191,1,27,27,73,47,0,5,5,61,105,39,43
E02000636,166,81,189,0,65,21,39,49,0,5,5,55,111,54,30
E02000923,166,82,183,2,54,23,28,53,0,4,4,46,120,47,30
E02002741,166,82,212,1,58,22,107,13,0,6,6,42,124,34,41
E02000182,165,46,178,1,57,29,40,38,0,4,4,50,115,40,42
E02000403,165,89,199,1,36,26,68,45,0,4,4,53,112,38,33
